NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type
NCT06547697,DIALYSATE SODIUM CONCENTRATIONS AND BLOOD PRESSURE IN CHRONIC HEMODIALYSIS PATIENTS,https://clinicaltrials.gov/study/NCT06547697,COMPLETED,Hypertension,OTHER: Dialysate sodium concentration,University Medical Centre Maribor,,INTERVENTIONAL
NCT06547684,Extracorporeal Shock Wave Therapy on Spastic Equinus Foot in Stroke Patients,https://clinicaltrials.gov/study/NCT06547684,RECRUITING,"Stroke|Equinus Deformity|Spasticity, Muscle",DEVICE: fESWT,Teresa Mateu Campos,,INTERVENTIONAL
NCT06547671,Efficacy of a Sensory Comfort Room in Agitation Control,https://clinicaltrials.gov/study/NCT06547671,COMPLETED,"Mental Disorders, Severe",OTHER: Employment of a confort room to help in anxiety and agitation moments.,Bioaraba Health Research Institute,,INTERVENTIONAL
NCT06547658,The Effect of Mouth Closure on Airflow in OSA,https://clinicaltrials.gov/study/NCT06547658,COMPLETED,"Hypopnea, Sleep",OTHER: Mouth closure,Brigham and Women's Hospital,"Massachusetts Eye and Ear Infirmary|National Heart, Lung, and Blood Institute (NHLBI)",INTERVENTIONAL
NCT06547645,Skilled Nursing Facility at Home Trial,https://clinicaltrials.gov/study/NCT06547645,NOT_YET_RECRUITING,Skilled Nursing Facility|Rehabilitation|Home Based Care,OTHER: Sub-Acute Rehab at Home,"University of Massachusetts, Worcester",Baystate Health|UMass Memorial Health|Massachusetts Executive Office of Health and Human Services (EOHHS),INTERVENTIONAL
NCT06547632,ClearPetra™ Vacuum-assisted Ureteral Access Sheath vs Traditional Approach,https://clinicaltrials.gov/study/NCT06547632,NOT_YET_RECRUITING,Nephrolithiasis|Kidney Stone,DEVICE: ClearPetra Ureteral access sheath,University of Kansas Medical Center,,INTERVENTIONAL
NCT06547619,"Role of ET-1, Physical Activity, and Sedentary Behavior in Microvascular Dysfunction Following GDM",https://clinicaltrials.gov/study/NCT06547619,NOT_YET_RECRUITING,Gestational Diabetes|Endothelial Dysfunction|Physical Inactivity,DRUG: Insulin aspart,"Anna Stanhewicz, PhD",,INTERVENTIONAL
NCT06547606,Effect of Resistive Inspiratory Muscle Training Optimizing Lung Function in Spinal Cord Injury,https://clinicaltrials.gov/study/NCT06547606,NOT_YET_RECRUITING,"Spinal Cord Injury (SCI), Respiratory Complication",OTHER: Usual Care,University of Dhaka,,INTERVENTIONAL
NCT06547593,A Multifaceted Nutrition Intervention for Frailty in the Community Elderly,https://clinicaltrials.gov/study/NCT06547593,RECRUITING,Frail|Elderly|Nutrition Disorders in Old Age,BEHAVIORAL: multifaceted nutrition intervention|BEHAVIORAL: Nutritional and Exercise Combined Intervention|BEHAVIORAL: Control Group,Zhaofeng Zhang,,INTERVENTIONAL
NCT06547580,Effects of Group-based and Individual Pelvic Floor Muscle Training on Elderly Individuals With Urinary Incontinence,https://clinicaltrials.gov/study/NCT06547580,COMPLETED,Urinary Incontinence,OTHER: Group-based PFMT|OTHER: Individualized PFMT,Celal Bayar University,,INTERVENTIONAL
NCT06547567,Promoting the Development of Autonomous Health Behaviors in Children and Adolescents Through Motivational Interviewing,https://clinicaltrials.gov/study/NCT06547567,NOT_YET_RECRUITING,Pediatric Obesity,BEHAVIORAL: Motivational Interviewing,Peking University,,INTERVENTIONAL
NCT06547554,A DDI Study to Investigate PK and Safety of Cefiderocol in Combination With Xeruborbactam in Healthy Adult Participants,https://clinicaltrials.gov/study/NCT06547554,NOT_YET_RECRUITING,Bacterial Infections,DRUG: Xeruborbactam|DRUG: Cefiderocol|DRUG: Xeruborbactam/Cefiderocol|DRUG: Dextrose 5% in water,"Qpex Biopharma, Inc.",Shionogi Inc.|Biomedical Advanced Research and Development Authority,INTERVENTIONAL
NCT06547541,Pilot - Resistance Exercise for Inpatient Treatment in T2D,https://clinicaltrials.gov/study/NCT06547541,NOT_YET_RECRUITING,"Diabetes Mellitus, Type 2",BEHAVIORAL: Exercise,"Rigshospitalet, Denmark","TrygFonden, Denmark",INTERVENTIONAL
NCT06547528,A Phase I Study to Investigate the Tolerability and Safety of ONO-4685 Given as Monotherapy in T Cell Lymphoma and CLL/SLL,https://clinicaltrials.gov/study/NCT06547528,RECRUITING,Relapsed or Refractory T Cell Lymphoma and Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma,DRUG: ONO-4685,Ono Pharmaceutical Co. Ltd,,INTERVENTIONAL
NCT06547515,"Bone and Muscle Health Following Sleeve Gastrectomy in Men, Premenopausal and Postmenopausal Women",https://clinicaltrials.gov/study/NCT06547515,RECRUITING,Bariatric Surgery|Bone Health|Severe Obesity|Muscle Health,PROCEDURE: Bariatric surgery,CHU de Quebec-Universite Laval,McGill University Health Centre/Research Institute of the McGill University Health Centre|Estrie University Integrated Health and Social Services Center - University Hospital of Sherbrooke,OBSERVATIONAL
NCT06547502,Pharmacokinetics and Safety Profile of a Single Dose GZR4 in Subjects With Renal Impairment,https://clinicaltrials.gov/study/NCT06547502,RECRUITING,Diabetes,DRUG: GZR4,"Gan and Lee Pharmaceuticals, USA",,INTERVENTIONAL
NCT06547489,GATE-251 or Placebo for the Reduction of Symptoms of Major Depressive Disorder,https://clinicaltrials.gov/study/NCT06547489,NOT_YET_RECRUITING,Major Depressive Disorder,DRUG: zelquistinel,"Gate Neurosciences, Inc",,INTERVENTIONAL
NCT06547476,Chidamide and PD-1 Inhibitor Plus Anlotinib for HER2-low Breast Cancer That Has Spread or Cannot be Surgically Removed,https://clinicaltrials.gov/study/NCT06547476,NOT_YET_RECRUITING,Breast Cancer,"DRUG: Tucidinostat (chidamide), PD-1 inhibitor (tislelizumab), anlotinib",Guangdong Provincial People's Hospital,,INTERVENTIONAL
NCT06547463,Effects of Nasal Airflow on Sleep in Tracheotomized Patients,https://clinicaltrials.gov/study/NCT06547463,NOT_YET_RECRUITING,Patients With Prolonged Weaning,OTHER: nasal oxygenation device,Assistance Publique - Hôpitaux de Paris,,OBSERVATIONAL
NCT06547450,Unified Protocol for Treatment of Emotional Disorders in Brief Groups in Primary Care Services in Spain,https://clinicaltrials.gov/study/NCT06547450,RECRUITING,Emotional Disorder|Anxiety Disorders|Depressive Disorder,BEHAVIORAL: 5-session UP condition|BEHAVIORAL: 8-session UP condition,Instituto de Investigación Sanitaria Aragón,,INTERVENTIONAL
NCT06547437,Papaverine and Oxytocin vs Oxytocin Alone in Labor Induction,https://clinicaltrials.gov/study/NCT06547437,NOT_YET_RECRUITING,Induced; Birth|Labor Onset and Length Abnormalities,DRUG: Papaverine|DRUG: normal saline,Western Galilee Hospital-Nahariya,,INTERVENTIONAL
NCT06547424,Phase I Clinical Study of Chondroitin Sulfate for Treatment of NEC,https://clinicaltrials.gov/study/NCT06547424,NOT_YET_RECRUITING,Necrotizing Enterocolitis|Intestinal Ischemia,DRUG: Chondroitin sulfate,Indiana University,,INTERVENTIONAL
NCT06547411,"Effects of Different Ventilation Modes on Intracranial Pressure and Carbon Dioxide Partial Pressure During Bariatric Surgery: a Prospective, Randomized, Controlled Study",https://clinicaltrials.gov/study/NCT06547411,RECRUITING,Ventilation|Bariatric Surgery|Intracranial Pressure|Carbon Dioxide,DEVICE: PC Ventilation mode，VC Ventilation mode ，PRVC Ventilation mode,Yu-Long Jia,Inner Mongolia Baogang Hospital|The Affiliated Hospital of Inner Mongolia Medical University,INTERVENTIONAL
NCT06547398,Prostate Adaptive Radiation Therapy,https://clinicaltrials.gov/study/NCT06547398,NOT_YET_RECRUITING,Prostatic Neoplasms,RADIATION: Adaptive radiotherapy +/- Margin Reduction|RADIATION: Image guided radiotherapy,Royal North Shore Hospital,Northern Sydney and Central Coast Area Health Service,INTERVENTIONAL
NCT06547385,Study of ONO-4578 and XELOX/FOLFOX Plus Bevacizumab in Colorectal Cancer,https://clinicaltrials.gov/study/NCT06547385,ACTIVE_NOT_RECRUITING,Colorectal Cancer,DRUG: ONO-4578|DRUG: ONO-4538|DRUG: Capecitabine|DRUG: Oxaliplatin|DRUG: Fluorouracil|DRUG: Calcium Levofolinate Hydrateb|DRUG: Bevacizumab,Ono Pharmaceutical Co. Ltd,,INTERVENTIONAL
NCT06547372,Dietary Intervention on Atopy,https://clinicaltrials.gov/study/NCT06547372,RECRUITING,Atopic Dermatitis|Atopic,OTHER: Dietary Intervention on Atopy,National University of Singapore,,INTERVENTIONAL
NCT06547359,A Study to Evaluate Drug-Drug Interactions of Obicetrapib Tablets and Ezetimibe Tablets in Healthy Adult Subjects,https://clinicaltrials.gov/study/NCT06547359,NOT_YET_RECRUITING,Healthy Volunteers,DRUG: Obicetrapib 10mg|DRUG: Ezetimibe 10mg,NewAmsterdam Pharma,"Pharma Medica Research, Inc.",INTERVENTIONAL
NCT06547346,Acceptability and Palatability Study of Paediatric Amino Acid Feed,https://clinicaltrials.gov/study/NCT06547346,RECRUITING,Allergy,DIETARY_SUPPLEMENT: Alfamino Junior,Société des Produits Nestlé (SPN),,INTERVENTIONAL
NCT06547333,A Study of CM310 in Subjects With Moderate to Severe Chronic Obstructive Pulmonary Disease,https://clinicaltrials.gov/study/NCT06547333,NOT_YET_RECRUITING,Moderate to Severe Chronic Obstructive Pulmonary Disease,DRUG: CM310|DRUG: Placebo,"CSPC ZhongQi Pharmaceutical Technology Co., Ltd.",,INTERVENTIONAL
NCT06547320,Sensor-based Just-in Time Adaptive Interventions (JITAIs) Targeting Eating Behavior,https://clinicaltrials.gov/study/NCT06547320,RECRUITING,Overweight and Obesity,BEHAVIORAL: Eat Less Intervention|BEHAVIORAL: Eat Slower Intervention,The Miriam Hospital,,INTERVENTIONAL
NCT06547307,CYP1A2 and ADORA2A Genotypes and Endurance Performance.,https://clinicaltrials.gov/study/NCT06547307,RECRUITING,Healthy,DIETARY_SUPPLEMENT: Caffeine 2 mg|DIETARY_SUPPLEMENT: Caffeine 4 mg|DIETARY_SUPPLEMENT: Caffeine 0 mg,Masaryk University,,INTERVENTIONAL
NCT06547294,Does a Novel Needle Over Catheter Device Improve First Pass Success and Decrease Complications,https://clinicaltrials.gov/study/NCT06547294,NOT_YET_RECRUITING,"Vascular Access Device Complications|Catheterization, Peripheral",DEVICE: Osprey IV|OTHER: Historical Controls,"Community Medical Center, Toms River, NJ",,INTERVENTIONAL
NCT06547281,Machine Learning Prediction of Multiple Infections in Elderly Surgical Patients,https://clinicaltrials.gov/study/NCT06547281,COMPLETED,Postoperative Infection|Geriatrics|Prediction,,Weidong Mi,,OBSERVATIONAL
NCT06547268,Advancing the Science of Pediatric Interstage Home Monitoring,https://clinicaltrials.gov/study/NCT06547268,RECRUITING,"Heart Defects, Congenital",DEVICE: Wireless sensor and platform,Ann & Robert H Lurie Children's Hospital of Chicago,Sibel Health Inc.,OBSERVATIONAL
NCT06547255,Exparel Versus Bupivacaine in Post-operative Pain Control,https://clinicaltrials.gov/study/NCT06547255,NOT_YET_RECRUITING,Liposomal Bupivacaine,DRUG: Bupivacaine liposome injectable suspension,Case Western Reserve University,,INTERVENTIONAL
NCT06547242,Levothyroxine-sodium Bioequivalence Trial With Oral Single Dose Administration,https://clinicaltrials.gov/study/NCT06547242,COMPLETED,Healthy,DRUG: Levothyroxin|DRUG: Levothyroxin,Berlin-Chemie AG Menarini Group,,INTERVENTIONAL
NCT06547229,Clinicopathological Features and Genetic Susceptibility Screening of Recurrent Drug-induced Liver Injury,https://clinicaltrials.gov/study/NCT06547229,ACTIVE_NOT_RECRUITING,Recurrent Drug-induced Liver Injury,,Beijing Friendship Hospital,,OBSERVATIONAL
NCT06547216,Phase 2 Open-label Extension Study of AOC 1020 in Adults With Facioscapulohumeral Muscular Dystrophy (FSHD),https://clinicaltrials.gov/study/NCT06547216,ENROLLING_BY_INVITATION,"FSHD|FSHD1|FSHD2|FMD|FMD2|Fascioscapulohumeral Muscular Dystrophy|Fascioscapulohumeral Muscular Dystrophy Type 1|Fascioscapulohumeral Muscular Dystrophy Type 2|Dystrophies, Facioscapulohumeral Muscular|Dystrophy, Facioscapulohumeral Muscular|Facioscapulohumeral Muscular Dystrophy 1|Facioscapulohumeral Muscular Dystrophy 2|Facio-Scapulo-Humeral Dystrophy|Atrophy, Facioscapulohumeral|Atrophies, Facioscapulohumeral|Facioscapulohumeral Atrophy|Muscular Dystrophies|Muscular Dystrophy, Facioscapulohumeral|FSH Muscular Dystrophy|Landouzy Dejerine Dystrophy|Landouzy-Dejerine Muscular Dystrophy|Dystrophies, Landouzy-Dejerine|Dystrophy, Landouzy-Dejerine|Landouzy-Dejerine Syndrome|Muscular Dystrophy, Landouzy Dejerine|Progressive Muscular Dystrophy|FSH",DRUG: AOC 1020,"Avidity Biosciences, Inc.",,INTERVENTIONAL
NCT06547203,"Cetuximab, Irinotecan, Toripalimab in RAS/BRAF Wild-type Ultraselected Right-sided Colorectal Cancer Study",https://clinicaltrials.gov/study/NCT06547203,RECRUITING,Colorectal Cancer Metastatic,DRUG: Cetuximab|DRUG: Toripalimab|DRUG: Irinotecan,Sun Yat-sen University,,INTERVENTIONAL
NCT06547190,Study on Treating by Eating: Role of AGEs on Mucosal Barrier and Microbiome.,https://clinicaltrials.gov/study/NCT06547190,COMPLETED,Healthy,BEHAVIORAL: High AGEs diet|BEHAVIORAL: Low AGEs diet,Universitaire Ziekenhuizen KU Leuven,Vlaams Instituut voor Biotechnologie (VIB),INTERVENTIONAL
NCT06547177,The Effect of Nutrition and Fluid Intake in the First Stage of Labor,https://clinicaltrials.gov/study/NCT06547177,COMPLETED,Obstetric Labor|Nutrient Intake|Fluid Therapy,OTHER: fruit juice group,Hilal Yuvacı,,INTERVENTIONAL
NCT06547164,A Study to Investigate the Pharmacokinetics of Midazolam After Repeated Doses of Camizestrant (AZD9833) and to Investigate the Pharmacokinetics of Camizestrant When Administered Alone and in Combination With Carbamazepine in Healthy Post-Menopausal Female Participants,https://clinicaltrials.gov/study/NCT06547164,NOT_YET_RECRUITING,Healthy Participants,DRUG: Midazolam|DRUG: Camizestrant|DRUG: Carbamazepine,AstraZeneca,,INTERVENTIONAL
NCT06547151,Evaluating the Safety and Efficacy of AMOR-1 as a Treatment for Hypocalcemia Associated With Hypoparathyroidism in Adults,https://clinicaltrials.gov/study/NCT06547151,NOT_YET_RECRUITING,Hypoparathyroidism,DRUG: AMOR-1|DRUG: Crystalline Calcium Carbonate,Amorphical Ltd.,,INTERVENTIONAL
NCT06547138,Pilot Study on the Effectiveness and Safety of OPTILENE® SILVER MESH ELASTIC in Prevention of Surgical Site Infection (SSI) and Incisional Hernia (IH),https://clinicaltrials.gov/study/NCT06547138,NOT_YET_RECRUITING,Abdominal Aortic Aneurysm|Morbid Obesity,DEVICE: Prophylactic mesh,Aesculap AG,B.Braun Surgical SA,OBSERVATIONAL
NCT06547125,A Study to Assess Adverse Events and Effectiveness of Intradermally Injected JUVÉDERM® VOLITE™ Gel Filler in Adult Participants in China For the Improvement of Skin Quality,https://clinicaltrials.gov/study/NCT06547125,RECRUITING,Skin Quality Deficit,DEVICE: JUVÉDERM® VOLITE™|OTHER: Control,AbbVie,,INTERVENTIONAL
NCT06547112,A Pharmacodynamic Study of the Apheresis Product of Multiple Myeloma Patients Undergoing Quad-induction Followed by Motixafortide + G-CSF Mobilization,https://clinicaltrials.gov/study/NCT06547112,NOT_YET_RECRUITING,Multiple Myeloma,DRUG: Motixafortide|DRUG: G-CSF,Washington University School of Medicine,"BioLineRx, Ltd.",INTERVENTIONAL
NCT06547099,Study to Understand Novel Biomarkers in Researching Dementia,https://clinicaltrials.gov/study/NCT06547099,ENROLLING_BY_INVITATION,Alzheimer Disease|Mild Cognitive Impairment|Dementia,DIAGNOSTIC_TEST: Clinical tau PET|DIAGNOSTIC_TEST: Clinical amyloid test|OTHER: Research blood collection|OTHER: Cognitive assessments,Washington University School of Medicine,National Institute on Aging (NIA),OBSERVATIONAL
NCT06547086,Rapid Eye Movement Restoration and Enhancement for Sleep-deprived Trauma-adaptation,https://clinicaltrials.gov/study/NCT06547086,NOT_YET_RECRUITING,Healthy Volunteers,,"University of Wisconsin, Madison",,INTERVENTIONAL
NCT06547073,The Effect of Virtual Reality Training Compared to Traditional Exercise in Patients With Frozen Shoulder,https://clinicaltrials.gov/study/NCT06547073,RECRUITING,Frozen Shoulder,OTHER: Virtual reality exercise training|OTHER: Traditional exercise training,University Ghent,,INTERVENTIONAL
NCT06547060,Leggings With Resistance Bands on Caloric Expenditure During Exercise,https://clinicaltrials.gov/study/NCT06547060,NOT_YET_RECRUITING,Health Behavior,OTHER: Exercise leggings,University of Texas at Austin,Sweetflexx Resistance Activewear,OBSERVATIONAL
NCT06547047,"Speed, Agility, and Quickness Training",https://clinicaltrials.gov/study/NCT06547047,NOT_YET_RECRUITING,Speed|Agility|Quickness|Physical Performance,"BEHAVIORAL: Speed, Agility, and Quickness (SAQ) Training|BEHAVIORAL: Regular Training",SUN MIN,,INTERVENTIONAL
NCT06547034,VisR for Noninvasively Interrogating Stromal Collagen Organization as a Breast Cancer Biomarker: Evaluation of Compression in Control Subjects,https://clinicaltrials.gov/study/NCT06547034,NOT_YET_RECRUITING,Breast Cancer,DEVICE: Ultrasound,UNC Lineberger Comprehensive Cancer Center,,OBSERVATIONAL
NCT06547021,Investigating Different Frequencies of Transcranial Electrical Stimulations in Dementia Population,https://clinicaltrials.gov/study/NCT06547021,NOT_YET_RECRUITING,Dementia,DEVICE: Transcranial Direct Current Stimulation (tDCS)|DEVICE: Gamma Transcranial Alternating Current Stimulation (tACS)|DEVICE: Theta Transcranial Alternating Current Stimulation (tACS)|DEVICE: Sham,University of Manitoba,,INTERVENTIONAL
NCT06547008,Army-SPRING Army-Suicide Prevention Research,https://clinicaltrials.gov/study/NCT06547008,NOT_YET_RECRUITING,Suicide,BEHAVIORAL: Army-SPRING|BEHAVIORAL: Risk Reduction Group (Control),University of Pennsylvania,Yale University,INTERVENTIONAL
NCT06546995,Study to Evaluate the Effects of NMRA-323511 Among Healthy Elderly and Adults With Agitation Associated With Dementia Due to Alzheimer's Disease,https://clinicaltrials.gov/study/NCT06546995,RECRUITING,Alzheimer's Disease|Healthy Elderly,DRUG: NMRA-323511|DRUG: Placebo,"Neumora Therapeutics, Inc.",,INTERVENTIONAL
NCT06546982,Diagnosis and Staging of Typhoid Fever Using Surface-enhanced Raman Spectroscopy Liquid Biopsy,https://clinicaltrials.gov/study/NCT06546982,ACTIVE_NOT_RECRUITING,Typhoid Fever,DIAGNOSTIC_TEST: Surface-enhanced Raman Spectroscopy,"University Hospital, Aachen",University of Agriculture Faisalabad|Nishtar Medical University,INTERVENTIONAL
NCT06546969,Chemoimmunotherapy Combined With Hyperthermia and Spatially-Fractionated Radiotherapy in Advanced Biliary Tract Cancer,https://clinicaltrials.gov/study/NCT06546969,NOT_YET_RECRUITING,Biliary Tract Cancer,DRUG: Gemcitabine|DRUG: Cisplatin|DRUG: Durvalumab|RADIATION: Spatially Fractionated RT|DEVICE: Deep Hyperthermia,"University of Maryland, Baltimore",,INTERVENTIONAL
NCT06546956,Integrative Breathwork Intervention for Chronic Pain,https://clinicaltrials.gov/study/NCT06546956,NOT_YET_RECRUITING,Chronic Low-back Pain,BEHAVIORAL: Integrative Breathwork Intervention,University of Florida,National Center for Complementary and Integrative Health (NCCIH),INTERVENTIONAL
NCT06546943,Glucose Monitoring in Youth With Cystic Fibrosis During Pulmonary Exacerbations,https://clinicaltrials.gov/study/NCT06546943,RECRUITING,Cystic Fibrosis Pulmonary Exacerbation,,"University of Colorado, Denver",Cystic Fibrosis Foundation|Baylor College of Medicine,OBSERVATIONAL
NCT06546930,Device Use Reimagined Through Education And Mentorship,https://clinicaltrials.gov/study/NCT06546930,NOT_YET_RECRUITING,"Diabetes Mellitus, Type 1",BEHAVIORAL: DREAM intervention,"University of California, San Francisco","Children's Hospital Los Angeles|University of California, Davis|National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)",INTERVENTIONAL
NCT06546917,bWell-D Pilot Randomized Controlled Trial,https://clinicaltrials.gov/study/NCT06546917,NOT_YET_RECRUITING,"Depressive Disorder, Major|Cognitive Dysfunction",BEHAVIORAL: bWell Cognitive Remediation|BEHAVIORAL: VR Experience,University of British Columbia,"Simon Fraser University|National Research Council, Canada",INTERVENTIONAL
NCT06546904,Artificial Intelligence Empowered Anesthesia Ultrasound Guided Regional Anesthesia Training,https://clinicaltrials.gov/study/NCT06546904,NOT_YET_RECRUITING,Ultrasound-guided Regional Anesthesia,DEVICE: Artificial intelligence empowers anesthesia with ultrasound assistance,Tongji Hospital,,INTERVENTIONAL
NCT06546891,Using an Adaptive Rower for People Using Motorized Wheelchairs,https://clinicaltrials.gov/study/NCT06546891,NOT_YET_RECRUITING,People Who Use Motorized Wheelchairs for Mobility,BEHAVIORAL: Adaptive Rowing,University of South Carolina,"Foundation for Physical Therapy, Inc.",INTERVENTIONAL
NCT06546878,Cardiac Rehabilitation: Optimisation of the Functional Capacity of Patients Hospitalized With Cardiac Disease,https://clinicaltrials.gov/study/NCT06546878,COMPLETED,Myocardial Ischemia|Heart Diseases,PROCEDURE: Cardiac Rehabilitation (Phase I) - nurse intervention,José Manuel Afonso Moreira,,INTERVENTIONAL
